Date,Diffused radiation (W/m^2),Global radiation (W/m^2),Relative humidity (%),Temperature (°C),Maximum temperature (°C),Minimum temperature (°C),Rainfall (mm),day,month,year
2017-06-25,35.326388888888886,351.875,70.36111111111111,25.65,29.6,21.7,0.0,25,6,2017
2017-06-26,43.0,348.75,70.92361111111111,26.45,31.0,21.9,0.0,26,6,2017
2017-06-27,48.55555555555556,345.7986111111111,59.513888888888886,26.9,30.5,23.3,0.0,27,6,2017
2017-06-28,41.173611111111114,357.68055555555554,64.15972222222223,25.85,29.0,22.7,0.0,28,6,2017
2017-06-29,41.701388888888886,357.4861111111111,69.1875,24.5,28.3,20.7,0.0,29,6,2017
2017-06-30,55.520833333333336,347.0486111111111,76.82638888888889,25.75,28.3,23.2,0.0,30,6,2017
2017-07-01,52.78472222222222,348.8333333333333,74.10416666666667,27.35,31.4,23.3,0.0,1,7,2017
2017-07-02,61.43055555555556,327.7361111111111,67.76388888888889,28.3,33.2,23.4,0.0,2,7,2017
2017-07-03,52.88194444444444,335.7708333333333,37.93055555555556,30.15,35.1,25.2,0.0,3,7,2017
2017-07-04,47.71527777777778,328.0208333333333,47.52777777777778,29.75,33.6,25.9,0.0,4,7,2017
2017-07-05,64.46527777777777,325.4861111111111,78.11805555555556,26.75,29.0,24.5,0.0,5,7,2017
2017-07-06,114.65277777777777,283.6736111111111,73.55555555555556,25.55,27.8,23.3,0.0,6,7,2017
2017-07-07,78.71527777777777,317.2013888888889,73.41666666666667,25.950000000000003,28.3,23.6,0.0,7,7,2017
2017-07-08,48.03472222222222,338.11805555555554,78.45833333333333,26.25,28.9,23.6,0.0,8,7,2017
2017-07-09,42.05555555555556,337.19444444444446,77.44444444444444,26.7,29.9,23.5,0.0,9,7,2017
2017-07-10,50.201388888888886,328.5833333333333,65.61805555555556,28.05,32.7,23.4,0.0,10,7,2017
2017-07-11,104.84722222222223,300.4583333333333,68.26388888888889,28.75,32.8,24.7,0.0,11,7,2017
2017-07-12,105.97916666666667,315.5138888888889,72.84027777777777,27.5,30.8,24.2,0.0,12,7,2017
2017-07-13,71.63194444444444,329.5833333333333,78.9375,27.4,29.9,24.9,0.0,13,7,2017
2017-07-14,40.416666666666664,346.19444444444446,60.923611111111114,27.8,32.2,23.4,0.0,14,7,2017
2017-07-15,40.19444444444444,350.6041666666667,59.34722222222222,28.0,32.2,23.8,0.0,15,7,2017
2017-07-16,40.3125,343.7638888888889,64.5625,27.85,34.0,21.7,0.0,16,7,2017
2017-07-17,69.0,324.11805555555554,64.75694444444444,27.549999999999997,30.9,24.2,0.0,17,7,2017
2017-07-18,48.888888888888886,337.80555555555554,73.8125,27.200000000000003,30.3,24.1,0.0,18,7,2017
2017-07-19,52.125,342.4513888888889,76.00694444444444,27.5,30.1,24.9,0.0,19,7,2017
2017-07-20,85.15277777777777,318.3888888888889,72.44444444444444,26.1,28.9,23.3,0.0,20,7,2017
2017-07-21,79.77083333333333,306.6041666666667,73.38194444444444,25.9,28.9,22.9,0.0,21,7,2017
2017-07-22,99.31944444444444,298.2708333333333,73.88194444444444,26.0,29.0,23.0,0.0,22,7,2017
2017-07-23,79.27777777777777,320.15277777777777,71.52083333333333,25.7,29.2,22.2,0.0,23,7,2017
